,country/region,confirmed,deaths,recovered,active,death_rate_(%),recovery_rate_(%),deaths_/_100_recovered,confirmed_last_week,1_week_change,1_week_%_increase,who_region,mortality_rate
62,Gabon,7189,49.0,4682,2458,0.68,65.13,1.05,6433,756,11.75,Africa,0.6815968841285297
63,Gambia,326,8.0,66,252,2.45,20.25,12.12,112,214,191.07,Africa,2.4539877300613497
64,Georgia,1137,16.0,922,199,1.41,81.09,1.74,1039,98,9.43,Europe,1.4072119613016711
65,Germany,207112,9125.0,190314,7673,4.41,91.89,4.79,203325,3787,1.86,Europe,4.405828730348796
66,Ghana,33624,168.0,29801,3655,0.5,88.63,0.56,28430,5194,18.27,Africa,0.4996431120628123
67,Greece,4227,202.0,1374,2651,4.78,32.51,14.7,4012,215,5.36,Europe,4.778802933522592
70,Guatemala,45309,1761.0,32455,11093,3.89,71.63,5.43,39039,6270,16.06,Americas,3.886645037409786
71,Guinea,7055,45.0,6257,753,0.64,88.69,0.72,6590,465,7.06,Africa,0.6378454996456413
72,Guinea-Bissau,1954,26.0,803,1125,1.33,41.1,3.24,1949,5,0.26,Africa,1.3306038894575232
73,Guyana,389,20.0,181,188,5.14,46.53,11.05,337,52,15.43,Americas,5.141388174807198
74,Haiti,7340,158.0,4365,2817,2.15,59.47,3.62,7053,287,4.07,Americas,2.1525885558583107
76,Honduras,39741,1166.0,5039,33536,2.93,12.68,23.14,34611,5130,14.82,Americas,2.933997634684583
77,Hungary,4448,596.0,3329,523,13.4,74.84,17.9,4339,109,2.51,Europe,13.399280575539569
78,Iceland,1854,10.0,1823,21,0.54,98.33,0.55,1839,15,0.82,Europe,0.5393743257820928
79,India,1480073,33408.0,951166,495499,2.26,64.26,3.51,1155338,324735,28.11,South-East Asia,2.2571859631247917
80,Indonesia,100303,4838.0,58173,37292,4.82,58.0,8.32,88214,12089,13.7,South-East Asia,4.82338514301666
81,Iran,293606,15912.0,255144,22550,5.42,86.9,6.24,276202,17404,6.3,Eastern Mediterranean,5.419507775726654
82,Iraq,112585,4458.0,77144,30983,3.96,68.52,5.78,94693,17892,18.89,Eastern Mediterranean,3.9596749122884933
83,Ireland,25892,1764.0,23364,764,6.81,90.24,7.55,25766,126,0.49,Europe,6.812915186157886
84,Israel,63985,474.0,27133,36378,0.74,42.41,1.75,52003,11982,23.04,Europe,0.7407986246776588
85,Italy,246286,35112.0,198593,12581,14.26,80.64,17.68,244624,1662,0.68,Europe,14.256595990027854
